feature	importance
tansyo_odds	39662.919575452805
agari	7905.155992746353
course_len	1621.9328246116638
horse_id	1508.8381061553955
race_type	1293.6664896011353
weight	1205.2850489616394
trainer_id	1175.6400570869446
prize_3races	844.3878331184387
rank_1000races	835.3081502914429
prize_5races	751.5147910118103
jockey_id	704.054835319519
prize_1000races	668.5635514259338
rank_3races	604.90762758255
ground_state	603.811662197113
rank_5races	598.434549331665
rank_10races	531.8656902313232
place	506.2292218208313
umaban	456.3344421386719
race_class	400.107892036438
prize_10races	363.2042999267578
impost	346.38142919540405
popularity	329.2786235809326
age	216.237690448761
wakuban	194.33538055419922
around	173.53926873207092
weather	137.66679191589355
weight_diff	135.94743967056274
sex	63.03451061248779
